BIST_BISR,SW_BIST_CFG_47,0x310D8,3,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_OQ_PON,0x310DC,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_PBOQ,0x310E0,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_PON_FP_1,0x310E4,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_PON_FP_2,0x310E8,7,0,0-0,0-0
BIST_BISR,SW_BIST_RSLT,0x310EC,11,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_US_DSC,0x310F0,7,0,0-0,0-0
BIST_BISR,SW_BIST_CFG_DS_DSC,0x310F4,7,0,0-0,0-0
BIST_BISR,US_BIST_CFG_2,0xF02004,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_3,0xF02008,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_4,0xF0200C,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_5,0xF02010,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_6,0xF02014,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_8,0xF02018,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_9,0xF0201C,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_10,0xF02020,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_11,0xF02024,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_12,0xF02028,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_13,0xF0202C,3,0,0-0,0-0
BIST_BISR,US_BIST_CFG_14,0xF02030,3,0,0-0,0-0
BIST_BISR,US_BIST_RSLT,0xF02034,6,0,0-0,0-0
BIST_BISR,DS_BIST_CFG_5,0xF0A00C,3,0,0-0,0-0
BIST_BISR,DS_BIST_CFG_6,0xF0A010,3,0,0-0,0-0
BIST_BISR,DS_BIST_CFG_7,0xF0A014,3,0,0-0,0-0
BIST_BISR,DS_BIST_CFG_8,0xF0A018,3,0,0-0,0-0
BIST_BISR,DS_BIST_RSLT,0xF0A01C,6,0,0-0,0-0
BIST_BISR,PBOES_BIST_0,0xF12000,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_1,0xF12004,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_2,0xF12008,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_3,0xF1200C,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_4,0xF12010,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_5,0xF12014,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_6,0xF12018,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_7,0xF1201C,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_8,0xF12020,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_9,0xF12024,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_10,0xF12028,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_11,0xF1202C,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_12,0xF12030,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_13,0xF12034,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_14,0xF12038,3,0,0-0,0-0
BIST_BISR,PBOES_BIST_15,0xF1203C,3,0,0-0,0-0
LED,LED_LED,0x1E000,2,0,0-0,0-0
LED,DATA_LED_CFG,0x1E004,18,32,0-17,0-0
LED,LED_ACTIVE_LOW_CFG,0x1E04C,1,1,0-17,0-0
LED,SERI_LED_ACTIVE_LOW_CFG,0x1E050,2,0,0-0,0-0
LED,LED_FORCE_VALUE_CFG,0x1E054,1,2,0-17,0-0
LED,LED_BLINK_RATE_CFG,0x1E05C,3,0,0-0,0-0
LED,LED_EN,0x1E068,22,0,0-0,0-0
LED,SERI_LED_CLK_PER,0x1E06C,2,0,0-0,0-0
LED,SERI_LED_REFRESH_TIME,0x1E070,2,0,0-0,0-0
LED,PON_LED_CFG,0x1E078,3,0,0-0,0-0
LED,LED_FLT_MPCP,0x1E090,2,0,0-0,0-0
HW_MISC_,FORCE_P_DMP,0x11000,1,11,0-0,0-10
HW_MISC_,EN_FORCE_P_DMP,0x11018,1,1,0-0,0-10
HW_MISC_,GLB_MAC_MISC,0x230EC,3,0,0-0,0-0
HW_MISC_,WRAP_GPHY_MISC,0x114,2,0,0-0,0-0
HW_MISC_,SSC_CTRL_0,0x118,7,32,0-0,0-1
HW_MISC_,SSC_CTRL_1,0x120,2,32,0-0,0-1
HW_MISC_,SSC_CTRL_2,0x128,2,32,0-0,0-1
HW_MISC_,SSC_CTRL_3,0x130,8,32,0-0,0-1
HW_MISC_,SSC_CTRL_4,0x138,4,32,0-0,0-1
HW_MISC_,SSC_CTRL_5,0x140,6,32,0-0,0-1
HW_MISC_,SSC_STS,0x148,6,32,0-0,0-1
HW_MISC_,THERMAL_CTRL_0,0x150,20,0,0-0,0-0
HW_MISC_,THERMAL_CTRL_1,0x154,2,0,0-0,0-0
HW_MISC_,THERMAL_CTRL_2,0x158,2,0,0-0,0-0
